"","x"
"1","RPMA_Clone_72"
"2","RPMA_Clone_64"
"3","RPMA_Clone_86"
"4","RPMA_Clone_100"
"5","RPMA_Clone_84"
"6","RPMA_Clone_75"
"7","RPMA_Clone_81"
"8","RPMA_Clone_65"
"9","RPMA_Clone_76"
"10","RPMA_Clone_87"
"11","RPMA_Clone_66"
"12","RPMA_Clone_82"
"13","RPMA_Clone_90"
"14","RPMA_Clone_74"
"15","RPMA_Clone_93"
"16","RPMA_Clone_96"
"17","RPM_CTpostCre_Allo4_Clone_323"
"18","RPM_CTpostCre_Allo4_Clone_326"
"19","RPM_CTpostCre_Allo4_Clone_322"
"20","RPM_CTpostCre_Allo4_Clone_315"
"21","RPM_CTpostCre_Allo4_Clone_287"
"22","RPM_CTpostCre_Allo4_Clone_313"
"23","RPM_CTpostCre_Allo4_Clone_316"
"24","RPM_Clone_14"
"25","RPM_Clone_53"
"26","RPM_CTpostCre_Allo3_Clone_256"
"27","RPM_Clone_36"
"28","RPM_CTpostCre_Allo3_Clone_173"
"29","RPM_Clone_2"
"30","RPM_CTpostCre_Allo3_Clone_213"
"31","RPM_Clone_33"
"32","RPM_CTpostCre_Allo3_Clone_190"
"33","RPM_CTpostCre_Allo3_Clone_257"
"34","RPM_CTpostCre_Allo3_Clone_192"
"35","RPM_Clone_6"
"36","RPM_Clone_55"
"37","RPM_CTpostCre_Allo3_Clone_222"
"38","RPM_CTpostCre_Allo3_Clone_181"
"39","RPM_CTpostCre_Allo3_Clone_229"
"40","RPM_CTpostCre_Allo3_Clone_217"
"41","RPM_CTpostCre_Allo3_Clone_154"
"42","RPM_CTpostCre_Allo3_Clone_150"
"43","RPM_CTpostCre_Allo3_Clone_157"
"44","RPM_CTpostCre_Allo4_Clone_314"
"45","RPM_CTpostCre_Allo3_Clone_227"
"46","RPM_CTpostCre_Allo3_Clone_189"
"47","RPM_CTpostCre_Allo3_Clone_195"
"48","RPM_CTpostCre_Allo3_Clone_185"
"49","RPM_CTpostCre_Allo3_Clone_273"
"50","RPM_Clone_13"
"51","RPM_CTpostCre_Allo3_Clone_151"
"52","RPM_CTpostCre_Allo3_Clone_160"
"53","RPM_CTpostCre_Allo3_Clone_28"
"54","RPM_CTpostCre_Allo3_Clone_172"
"55","RPM_Clone_23"
"56","RPM_Clone_37"
"57","RPM_CTpostCre_Allo3_Clone_152"
"58","RPM_CTpostCre_Allo3_Clone_155"
"59","RPM_CTpostCre_Allo3_Clone_161"
"60","RPM_CTpostCre_Allo3_Clone_166"
"61","RPMA_Clone_12"
"62","RPMA_Clone_63"
"63","RPMA_Clone_67"
"64","RPMA_Clone_8"
"65","RPMA_Clone_23"
"66","RPMA_Clone_11"
"67","RPMA_Clone_68"
"68","RPMA_Clone_78"
"69","RPMA_Clone_69"
"70","RPMA_Clone_26"
"71","RPMA_Clone_13"
"72","RPMA_Clone_2"
"73","RPMA_Clone_3"
"74","RPMA_Clone_53"
"75","RPMA_Clone_44"
"76","RPMA_Clone_28"
"77","RPMA_Clone_36"
"78","RPMA_Clone_58"
"79","RPMA_Clone_32"
"80","RPMA_Clone_55"
"81","RPMA_Clone_42"
"82","RPMA_Clone_17"
"83","RPMA_Clone_24"
"84","RPM_CTpostCre_Allo4_Clone_324"
"85","RPM_CTpostCre_Allo4_Clone_317"
"86","RPMA_Clone_95"
