,x,Pattern
1,RPMA_Clone_72,Pattern_3
2,RPMA_Clone_64,Pattern_3
3,RPMA_Clone_86,Pattern_3
4,RPMA_Clone_100,Pattern_3
5,RPMA_Clone_84,Pattern_3
6,RPMA_Clone_75,Pattern_3
7,RPMA_Clone_81,Pattern_3
8,RPMA_Clone_65,Pattern_3
9,RPMA_Clone_76,Pattern_3
10,RPMA_Clone_87,Pattern_3
11,RPMA_Clone_66,Pattern_3
12,RPMA_Clone_82,Pattern_3
13,RPMA_Clone_90,Pattern_3
14,RPMA_Clone_74,Pattern_3
15,RPMA_Clone_93,Pattern_3
16,RPMA_Clone_96,Pattern_3
17,RPM_CTpostCre_Allo4_Clone_323,Unknown_1
18,RPM_CTpostCre_Allo4_Clone_326,Unknown_1
19,RPM_CTpostCre_Allo4_Clone_322,Unknown_1
20,RPM_CTpostCre_Allo4_Clone_315,Unknown_1
21,RPM_CTpostCre_Allo4_Clone_287,Unknown_1
22,RPM_CTpostCre_Allo4_Clone_313,Unknown_1
23,RPM_CTpostCre_Allo4_Clone_316,Unknown_1
24,RPM_Clone_14,Pattern_1
25,RPM_Clone_53,Pattern_1
26,RPM_CTpostCre_Allo3_Clone_256,Pattern_1
27,RPM_Clone_36,Pattern_1
28,RPM_CTpostCre_Allo3_Clone_173,Pattern_1
29,RPM_Clone_2,Pattern_1
30,RPM_CTpostCre_Allo3_Clone_213,Pattern_1
31,RPM_Clone_33,Pattern_1
32,RPM_CTpostCre_Allo3_Clone_190,Pattern_1
33,RPM_CTpostCre_Allo3_Clone_257,Pattern_1
34,RPM_CTpostCre_Allo3_Clone_192,Pattern_1
35,RPM_Clone_6,Pattern_1
36,RPM_Clone_55,Pattern_1
37,RPM_CTpostCre_Allo3_Clone_222,Pattern_1
38,RPM_CTpostCre_Allo3_Clone_181,Pattern_1
39,RPM_CTpostCre_Allo3_Clone_229,Pattern_1
40,RPM_CTpostCre_Allo3_Clone_217,Pattern_1
41,RPM_CTpostCre_Allo3_Clone_154,Pattern_1
42,RPM_CTpostCre_Allo3_Clone_150,Pattern_1
43,RPM_CTpostCre_Allo3_Clone_157,Pattern_1
44,RPM_CTpostCre_Allo4_Clone_314,Pattern_1
45,RPM_CTpostCre_Allo3_Clone_227,Pattern_1
46,RPM_CTpostCre_Allo3_Clone_189,Pattern_1
47,RPM_CTpostCre_Allo3_Clone_195,Pattern_1
48,RPM_CTpostCre_Allo3_Clone_185,Pattern_1
49,RPM_CTpostCre_Allo3_Clone_273,Pattern_1
50,RPM_Clone_13,Pattern_5
51,RPM_CTpostCre_Allo3_Clone_151,Pattern_5
52,RPM_CTpostCre_Allo3_Clone_160,Pattern_5
53,RPM_CTpostCre_Allo3_Clone_28,Pattern_5
54,RPM_CTpostCre_Allo3_Clone_172,Pattern_2
55,RPM_Clone_23,Pattern_2
56,RPM_Clone_37,Pattern_2
57,RPM_CTpostCre_Allo3_Clone_152,Pattern_2
58,RPM_CTpostCre_Allo3_Clone_155,Pattern_2
59,RPM_CTpostCre_Allo3_Clone_161,Pattern_2
60,RPM_CTpostCre_Allo3_Clone_166,Pattern_2
61,RPMA_Clone_12,Pattern_4
62,RPMA_Clone_63,Pattern_4
63,RPMA_Clone_67,Pattern_4
64,RPMA_Clone_8,Pattern_4
65,RPMA_Clone_23,Pattern_4
66,RPMA_Clone_11,Pattern_4
67,RPMA_Clone_68,Pattern_4
68,RPMA_Clone_78,Pattern_4
69,RPMA_Clone_69,Pattern_4
70,RPMA_Clone_26,Pattern_4
71,RPMA_Clone_13,Pattern_4
72,RPMA_Clone_2,Pattern_4
73,RPMA_Clone_3,Pattern_4
74,RPMA_Clone_53,Pattern_4
75,RPMA_Clone_44,Pattern_4
76,RPMA_Clone_28,Pattern_4
77,RPMA_Clone_36,Pattern_4
78,RPMA_Clone_58,Pattern_4
79,RPMA_Clone_32,Pattern_4
80,RPMA_Clone_55,Pattern_4
81,RPMA_Clone_42,Pattern_4
82,RPMA_Clone_17,Pattern_4
83,RPMA_Clone_24,Pattern_4
84,RPM_CTpostCre_Allo4_Clone_324,Unknown_2
85,RPM_CTpostCre_Allo4_Clone_317,Unknown_2
86,RPMA_Clone_95,Unknown_2
