Borromeo_ASCL1_Targets,Borromeo_Oliver_NEUROD1_Targets,POU2F3_Targets,ATOH1_Targets
Sec14l1,Nhlh1,AZGP1,SH3BGRL3
Ret,Neurod6,ASCL2,DLL1
Celf4,Cnr1,POU2F3,ATOH1
Scgb1a1,Dct,SPIC,TUBB4B
Hs3st6,Nell2,MYC,HES6
Adamtsl2,Esrrg,CEBPA,CBFA2T3
Dner,Nhlh2,YBX3,DLL3
Rptor,Slc35f4,ACADSB,GAS1
Rtn1,Jph3,TRIM58,WNT10A
Fam83h,Neurod1,CA9,POU4F1
Rph3al,Lhx1,GFI1B,LHX3
Fut1,Akap6,TFAP2C,AGAP3
Scg3,Ak5,VSNL1,ZBTB18
Nkx2-1,Ppp1r17,CD9,ARHGAP6
Pgbd5,Gpr26,CDC42EP1,CLEC18A
Tbc1d8,Dbx1,FZD7,KLHL33
Smoc2,Neurog2,QPRT,MFNG
Zdhhc14,Ebf3,HOXC5,FZD9
Kcnh2,Dbn1,DSG2,RASD2
Sergef,Mmd2,SOSTDC1,CHRAC1
Sox2,Tbx18,EFNA1,RUFY1
Epb41,Igfbpl1,KAZN,DNMT3B
Wscd1,Shox2,ADA,CLEC18C
Dll3,Atp2b3,EPHB3,AIPL1
Bambi,Ccnjl,HSPA6,INSC
St8sia3,Epha8,NREP,SLAIN1
Dnajc1,Gap43,DTX4,MAZ
Arl4a,Rxrg,KYNU,NRIP2
Ascl1,Adam11,AVIL,CLEC18B
Itgb1,Mab21l1,HOXC4,DAAM1
Tox3,Rbfox3,KCTD1,CORO2A
Wsb2,Grik4,ZHX2,BDNF
Inppl1,Neurod2,BMX,SRGAP1
Hrh3,Gli2,TPD52L1,SLC25A51
Atp2a3,Thsd7b,HMGA1,RNF125
Tmem80,Lrfn2,DMRT2,CALCOCO2
Gadd45g,Mdga1,ACSS1,FHL1
Klc1,P2rx1,CAPN13,DCHS2
Clic6,Fam19a5,ANXA3,ENAH
Golga7b,Kctd15,RAP2B,NET1
Qsox2,Uncx,ATP6V1C2,LIPG
Chga,Emx2,GRTP1,NRN1
Muc20,Cdk6,ALDH1A1,NHSL1
Smpd3,Evc,TMEM63A,ESPNL
Celf3,Homer2,HES2,WWC1
Slc35d3,Gjd2,SAMD5,SOX2
Tox,Fabp7,SYCP2,TACR2
Grm2,Wbscr17,RHOV,GAL3ST1
Pgs1,Ebf1,BCL2,USH2A
