Borromeo_ASCL1_Targets,Borromeo_Oliver_NEUROD1_Targets,POU2F3_Targets,
Sec14l1,Nhlh1,AZGP1,yes
Ret,Neurod6,ASCL2,yes
Celf4,Cnr1,POU2F3,yes
Scgb1a1,Dct,SPIC,yes
Hs3st6,Nell2,MYC,yes
Adamtsl2,Esrrg,CEBPA,yes
Dner,Nhlh2,YBX3,yes
Rptor,Slc35f4,ACADSB,yes
Rtn1,Jph3,TRIM58,yes
Fam83h,Neurod1,CA9,yes
Rph3al,Lhx1,GFI1B,yes
Fut1,Akap6,TFAP2C,yes
Scg3,Ak5,VSNL1,yes
Nkx2-1,Ppp1r17,CD9,yes
Pgbd5,Gpr26,CDC42EP1,yes
Tbc1d8,Dbx1,FZD7,yes
Smoc2,Neurog2,QPRT,yes
Zdhhc14,Ebf3,HOXC5,yes
Kcnh2,Dbn1,DSG2,yes
Sergef,Mmd2,SOSTDC1,yes
Sox2,Tbx18,EFNA1,yes
Epb41,Igfbpl1,KAZN,yes
Wscd1,Shox2,ADA,yes
Dll3,Atp2b3,EPHB3,yes
Bambi,Ccnjl,HSPA6,yes
St8sia3,Epha8,NREP,yes
Dnajc1,Gap43,DTX4,yes
Arl4a,Rxrg,KYNU,yes
Ascl1,Adam11,AVIL,yes
Itgb1,Mab21l1,HOXC4,yes
Tox3,Rbfox3,KCTD1,yes
Wsb2,Grik4,ZHX2,yes
Inppl1,Neurod2,BMX,yes
Hrh3,Gli2,TPD52L1,yes
Atp2a3,Thsd7b,HMGA1,yes
Tmem80,Lrfn2,DMRT2,yes
Gadd45g,Mdga1,ACSS1,yes
Klc1,P2rx1,CAPN13,yes
Clic6,Fam19a5,ANXA3,yes
Golga7b,Kctd15,RAP2B,yes
Qsox2,Uncx,ATP6V1C2,yes
Chga,Emx2,GRTP1,yes
Muc20,Cdk6,ALDH1A1,yes
Smpd3,Evc,TMEM63A,yes
Celf3,Homer2,HES2,yes
Slc35d3,Gjd2,SAMD5,yes
Tox,Fabp7,SYCP2,yes
Grm2,Wbscr17,RHOV,yes
Pgs1,Ebf1,BCL2,yes
Tmem181a,Dlk1,KRTCAP3,yes
Wwc1,Dmrta1,MIR9-1HG,yes
Shisa2,Kcng1,EHF,yes
Snap25,Tmem132e,TMEM54,yes
Syt1,Rtn1,NUDT8,yes
Fgf14,Nkain1,FAM117A,yes
Ets2,Elavl2,AGRN,yes
Faah,Rcor2,INPP5B,yes
Dtx1,Zeb1,CTSH,yes
Igfbp5,Ptprs,ITGB4,yes
Ptprn2,Gpsm1,PRAME,yes
Brsk2,Sox11,ZNF217,yes
Krt18,Trpv4,TNFRSF18,yes
Calml3,Pak3,PLD6,yes
Dmpk,Kcnj8,EGLN3,yes
Zfp706,Slc6a3,PPM1H,yes
Dll4,Tcf4,LRRC56,yes
Rab17,Asic4,MICA,yes
Cep112,Cd248,B4GALT5,yes
St14,Cpvl,FMNL2,yes
Lfng,Ptchd2,E2F3,yes
Nrxn1,Fam135b,ESPN,yes
Wfdc2,Npr2,PTK7,yes
Aplp2,Olig2,VEGFA,yes
Tmem184a,Fbln1,OTX2,yes
Cdh1,Sema5b,EPHX4,yes
Cer1,Rbp7,FNDC10,yes
Map7,Adarb1,FOXI3,yes
Fbxw7,Ttc9b,HSBP1L1,yes
Espn,Camk4,MAP3K6,yes
Lrp11,Aanat,BCL11A,yes
Grp,Slc2a5,TEAD4,yes
Myo5b,Map1b,PADI2,yes
Gca,Kcnj12,PLPP2,yes
Dpp6,Sema6d,MELTF,yes
Ptpru,Kcnq2,SWAP70,yes
Extl3,Syt6,TRIM38,yes
Kcnc1,Apba2,TARBP1,yes
Cadm1,Elfn2,PHLDA1,yes
Alcam,Thrsp,PPIC,yes
Btbd11,Nefm,SRXN1,yes
Sox1,Glt1d1,EEF1D,yes
Foxa2,Nfib,CCND1,yes
Shroom3,Csdc2,GSTP1,yes
Cxcl14,Palm,DYRK4,yes
Calcb,Pax6,MPZL2,yes
Syt13,Shf,STAT6,yes
Ttc39a,Tmem200c,WWTR1,yes
Pkib,Sh3pxd2b,IER5L,yes
Nol4,Uhrf1bp1l,ADAT2,yes
Myo1d,Nrep,CTSL,yes
Krt8,Elavl4,SLC35F2,yes
Bik,Hpca,C1orf115,yes
Id2,Rasgrp1,GSN,yes
Efhd2,Cbln1,IFI16,yes
Rasd1,Pcdh8,POPDC3,yes
Jag2,Zeb2,TP53RK,yes
Rgs7,Tfap2c,DNPH1,yes
Nucb2,Sgcd,TRIB1,yes
Btbd17,Dzip1,POLE4,yes
Tmem45b,Plcg1,SLC39A4,yes
Trim3,B3gat1,TRIM22,yes
Insm1,Spsb4,GCLC,yes
Cldn3,Stac,WDR12,yes
Fam174a,Fam105a,LYN,yes
Gfi1,Arhgap42,PPARD,yes
Cry1,Soga1,CRACR2B,yes
Ddc,Col27a1,KCNMB4,yes
Hes1,Cntn1,WDR43,yes
Rab3b,Pde1c,KLF4,yes
Ankrd37,Rgma,AGTRAP,yes
Cacna1a,Rasgef1c,PDGFRA,yes
Skap1,Nxn,C1R,yes
Prom1,Ntng2,DHRS3,yes
Cxcr4,Atp2b2,AJUBA,yes
Ica1,Celsr2,HAP1,yes
Elmo1,Grtp1,STK38,yes
Scg2,Enc1,PARD6B,yes
Foxj1,Ttll12,SMAGP,yes
Syt7,Sema6a,TUSC1,yes
Gnao1,Alpl,FASN,yes
Map6,Ttc7b,CLPX,yes
Spint2,Scn3b,SPATS2L,yes
Rbpj,Clip3,FKBP5,yes
Ly6h,Serinc5,TAMALIN,yes
Mycl,Ppp2r2c,TTLL4,yes
,Sulf2,LAMC2,yes
,Mfng,LPAR3,yes
,Lgr6,RALGPS2,yes
,Chd7,SMAD6,yes
,Fzd7,SPG21,yes
,Ankrd55,RHPN2,yes
,Angptl2,CHRNA5,yes
,Eya2,SIX5,yes
,Hapln1,SMAD3,yes
,Bhlhe22,ERBB3,yes
,Barhl1,HSPD1,yes
,Syngr1,INTS13,yes
,Aif1l,RPF2,yes
,Tcf3,CSK,yes
,Eml1,GAB2,yes
,Pde9a,PIP5K1B,yes
,Col9a3,ADSS2,yes
,Six3,TTLL12,yes
,Rprm,MARS2,yes
,Fbxl7,ANP32E,yes
,Chrna3,CNDP2,yes
,St8sia2,EXOSC4,yes
,Smpd4,NOB1,yes
,St6galnac5,IFT172,yes
,Fam210b,DVL1,yes
,Gp9,RNF149,yes
,Dab2ip,RUNX1,yes
,Tril,ATP1A1,yes
,Bcar1,CABLES1,yes
,Clvs1,VAV1,yes
,Stxbp1,OTX1,yes
,Rhbdl3,THBS2,yes
,Nfia,TFRC,yes
,Rin1,NUDT19,yes
,Hlf,TNKS1BP1,yes
,Chrna1,SH2D2A,yes
,Sst,ANKRD33B,yes
,Numbl,ARID5B,yes
,Frmd6,JAK1,yes
,Dpf3,ATL2,yes
,Ubap2,PABPC1,yes
,Tspan18,TNFSF8,yes
,Thbs4,MFGE8,yes
,Zmiz1,SPSB4,yes
,Nnat,OVOL1,yes
,Fzd10,SH2D6,yes
,Grm4,MCOLN2,yes
,Cdkal1,SBNO2,yes
,Ctnnd2,MAP3K8,yes
,Slc7a14,PTPRJ,yes
,Ppp1r14a,ESF1,yes
,Spon1,RRBP1,yes
,Fam207a,PITX1,yes
,Myt1,GPNMB,yes
,Caln1,FCN3,yes
,Radil,SMARCA2,yes
,Cbx2,PPAN,yes
,Dpp6,CYP39A1,yes
,Rassf9,CCN1,yes
,Syt1,TMA16,yes
,Dand5,KIF16B,yes
,Frmd4a,TCFL5,yes
,Ntrk1,RPS10-NUDT3,yes
,Slc1a7,CHST9,yes
,Slc39a11,ZNF593,yes
,Nr5a2,NSUN2,yes
,Btbd17,FAH,yes
,Sox9,BMF,yes
,Trim65,OVOL3,yes
,Vgll4,MTHFD1L,yes
,Gadd45a,ELF1,yes
,Frmd3,CRYBG1,yes
,Rtn4r,FBXO22,yes
,Dcc,STEAP1,yes
,Slc4a8,NDC1,yes
,Nos2,NADK,yes
,Cdh5,SERPINB6,yes
,Bmper,NOP2,yes
,Astn2,PEDS1,yes
,Fyn,KAT2A,yes
,Tulp1,DDX47,yes
,Gse1,PFKFB3,yes
,Atp2b4,MOCS3,yes
,Gnao1,CLDN14,yes
,Sla,FAM83H,yes
,Plcxd3,PUS7,yes
,Akt3,KIF13A,yes
,Notch1,ADAM15,yes
,Zbtb18,ZW10,yes
,Eln,MEMO1,yes
,Kctd7,NOC2L,yes
,Slc38a8,SLC25A37,yes
,Kcnh5,TRPS1,yes
,Ephb4,NAT10,yes
,Usp9x,XKRX,yes
,Smpd3,PTRH2,yes
,Cyp1b1,SLC4A2,yes
,Cerkl,PLEKHO2,yes
,Amotl2,ENO1,yes
,Tecpr1,YDJC,yes
