SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
GHRH,GRP,PPP1R17,POU2F3,ANXA1
SOX1,CALCA,NEUROD1,ANXA1,LGALS1
ISL1,CEACAM5,MYC,LRMP,MAGEA4
SHD,MS4A8,ELN,AZGP1,VIM
PTN,TMEM176A,CERKL,AVIL,IFITM3
MBNL3,MT1E,MFAP4,RGS13,YAP1
IL23A,TMEM176B,OLFM1,EHF,TPM2
TCEAL2,TSPAN8,NHLH2,PLA2G4A,MYL9
FLI1,KLK11,RBFOX3,BMX,CTSZ
DCX,KLK12,CTNND2,PLCG2,ZFP36L1
ZNF536,FAM3B,SCHIP1,CRYM,EPB41L2
PCP4,AOC1,NEUROD4,GFI1B,SEMA3C
ANO1,MT1G,TSHR,VAMP8,MICA
ILDR2,GJB1,SLC17A6,CTSZ,MME
FGD3,TSPAN1,ADCYAP1R1,MYC,TMBIM1
LCK,RET,TSPAN18,SOX9,MMP14
SLC25A48,NR0B2,NEUROD2,HOXC10,CNN2
SHISA9,SKAP1,NEUROD6,FGF13,WWTR1
ALX3,SLPI,SLC38A5,GAL,CAV1
TAGLN3,COL22A1,KCNJ3,LGALS3,AHNAK
SOX6,SCIN,HPCA,RBM47,THBS1
TCEAL5,KRT7,PLCH2,TMPRSS3,OSMR
LAT,VSTM2A,GAS2,CHRDL1,EMP3
GNG3,APOBEC3B,ANGPTL2,QPRT,MSRB3
TTC9B,SFTA3,KCNG1,ARHGEF35,S100A10
CELF5,NSG2,ZFPM2,CRIM1,GPX8
CD200,43901,SPARC,TFAP2C,IGF2BP2
EBF1,MYCL,SSTR2,CCND1,EMP1
DGKI,RAB17,ZDHHC22,MAN1A1,HLA-E
CBLN1,RAB20,NRP2,GRHL2,CCND1
PLD5,VAMP8,CNTN1,PKP3,MRC2
CLDN9,LCK,IRF8,ANXA4,RAB32
ASPDH,CASP4,CABP7,VSNL1,IGFBP3
RBP1,ADAM28,ATOH8,IGF2BP2,MAGEA9
ADRA2A,EVA1A,KCNQ2,HMGN5,IFITM2
HABP2,TMEM61,SYNDIG1,GRASP,CD40
GAD2,TNFSF10,GDAP1L1,YBX3,FBXO17
ST8SIA2,SCN3A,PDE2A,ASCL2,HMGA2
LHFPL3,HOXB6,RAMP1,ITGB5,CRIM1
NSG1,HOXB5,PAX6,DSC2,PLBD1
CALB1,SMOC2,CHRNA1,ACADSB,TNFRSF10B
SNCAIP,POF1B,MCC,DNAJC15,S100A11
NAALADL1,IFI16,SULF2,IGF2BP1,LAMB2
TTBK1,SP100,ZEB2,ARHGEF5,H2AFJ
RAB9B,TPH1,GATM,GALNT14,AJUBA
CORO2B,ACKR3,PPP1R14A,GAS7,PIEZO1
SORCS2,ELF3,CAMKV,ALOX5,TEAD2
POU3F3,AMIGO2,SMTNL2,MOCOS,TNFRSF12A
PDE1A,TMC5,SLC16A2,CTSC,STAT6
CEND1,RBM47,KANK4,TNFRSF10B,PTPN14
HIST1H4A,NELL1,CHST8,PROM2,CD44
MECOM,PLAC8,LURAP1L,REST,IGF2BP1
DRAXIN,SLFN13,PRDM8,F2R,EGFR
GRIP1,ADCYAP1,LMO1,PIP5K1B,EHD2
NKAIN2,SOX21,TMEM130,VAV1,ITGB5
BARX1,TMEM47,PDE1C,KCNQ1,ISG15
TOX3,MST1R,ITGA4,LRAT,COL6A2
SP8,CA10,ZNF423,COL9A3,APOBEC3B
RNF183,SCN2A,KCNJ4,PIK3R5,TGFB1
DCHS1,CTSS,KIAA1614,LAD1,RRAS
RGS8,SYT13,GABRB2,CDX2,EPHA2
LBH,WNT11,CNTN2,ERBB3,CTSL
ELAVL3,CRYM,ASPDH,FES,TM4SF1
ATF5,HLA-C,ELFN2,DLC1,GJA1
RASSF6,TFF3,ATP2B2,AJUBA,PDGFC
TNFAIP2,HPGD,SLC17A7,PIEZO1,TIMP1
DMRTA2,MB,S100A2,IL13RA1,RARG
PABPC4L,WFDC2,MYBPHL,HOXC11,EPHB4
NOL4,GSDMD,LOXL1,COL27A1,TRIM5
SNTG2,NR0B1,FOXO1,OLIG2,RHBDF1
TMEM240,PAH,GABBR2,EPHB3,SPHK1
DNER,FAM83E,TGFB3,KIAA1217,PSMB9
PFKFB2,GULP1,SNCB,OSMR,FSTL1
SP6,FAXDC2,ALPL,ART3,ITGA5
PVALB,IRAK3,HR,ADAMTS3,HLA-B
TMEM151B,HES1,DACH1,FOXI1,SLC2A3
GALNT8,VWA5A,PSTPIP1,TRIM58,IER3
NACAD,IL23A,NFIA,COL2A1,MYADM
DMRT2,STYK1,NAP1L3,RNF43,SYDE1
DLX1,LFNG,TBX1,CTAG1A,PLK2
BCL11B,CHRD,RXRG,PSD2,CDC42EP1
ZIC5,OR51E1,AQP3,SPATS2L,CAV2
TCERG1L,KCNQ3,SYNGR4,DSG2,BST2
GLB1L3,FOXJ1,HAND2,CNN2,SYCP2
NGF,MACC1,PCOLCE2,ESPN,CD99
POU2F2,QPCT,PHLDA1,PRRG1,CYBRD1
FNDC5,CLIC6,TCF15,NMU,NQO1
TUSC1,GPX2,MFNG,NDRG2,LATS2
DSCAML1,APOD,EDIL3,CTAG1B,LTBP1
PIPOX,SP140L,ST3GAL6,EPN3,LGALS3
DSCAM,SLC13A3,SYT6,HOXC9,PYGL
ST6GAL2,KCNQ1,ITGA7,PLCB2,PMP22
ADAMTSL2,SEC11C,SYTL4,FAM49A,CALD1
SLC38A8,BIK,FGFR2,CALD1,KDELR3
SOX11,HABP2,PRRG1,FAR2,RNF212
KIAA1211L,TRIT1,PPP2R2B,HES2,FKBP10
SPAG6,RNF183,CRABP1,ANXA3,REST
CHRM4,CACNA1A,AFF3,RGL1,PPIC
MSI1,MUCL1,OLIG1,FGFRL1,ZC4H2
44078,NPTX1,DLX3,FEZ1,FXYD5
HIST1H4C,PARVG,ADAMTS2,IER3,RAB31
RTN1,CABP4,PREX1,KIF12,COL12A1
KIRREL3,GPSM3,SCRT2,SNTB1,OLFM2
ZNF135,LCP1,SCN1B,CCSER1,BLVRB
KCNN4,PROM1,SLC47A1,SLC12A8,IFI35
MDM1,ARHGEF38,EDA,TMBIM1,EFEMP2
PHACTR1,CYBA,IGSF11,PITX2,CD70
RAB33A,SRPK3,RNF112,EPHA1,WTIP
ADCY5,ATP2C2,ADAM11,TBX1,FGFRL1
NPM2,GCNT1,OLFM2,HOXC13,STOM
ABLIM2,ESRP2,SPNS2,CDC42EP1,PLIN3
STK32A,PLXNA2,PRCD,MICA,AXL
GPR161,KLK1,NGFR,CDK6,IL1RAP
AJAP1,GOLT1A,RPRML,STAP2,ZYX
NANOS3,ZSCAN31,CDH7,FAT3,PROS1
MICALCL,TGIF2LX,GSG1L,ACSS1,CPNE8
CRIP3,PKP3,SLC6A15,MAP4K1,SP100
RHBDL3,INPP4B,JPH4,ME1,GAS2L1
KCNT2,IGFBP5,ZEB1,TMEM63A,SERPINH1
ENOX2,EPAS1,PPFIA2,KIF1C,HFE
STMND1,CADPS2,NKAIN1,TNFRSF18,HMOX1
SMAD9,LYPD1,KIRREL2,AGRN,CLU
