Proliferating_basal,Proteasomal_basal,Differentiating_basal,KRT8high,Mucus_secretory,Ciliated,PNEC,Iono_tuft,SMG_basal,SMG_secretory
Ube2c,Cav2,Ngfr,Elf3,S100a4,Spa17,Kcnh6,Akr1b3,Cav2,Folr1
Tubb5,Timp1,Serpinf1,Sult2b1,Vsig2,Crip1,Rab3b,Pde1c,Scpep1,Ssr4
Hmgn2,Tubb6,Jag2,Itpkc,Slc9a3r2,Zmynd10,Neurl1a,Kit,Sox9,Slc9a3r2
Dnmt1,Itga3,Bcam,Hspb1,Cp,Pifo,Rbfox1,Fam131c,Serpinf1,Prkar2b
Mcm5,Cd320,Fcgrt,Cstb,Eps8l1,Tmem190,Prox1,Atp6v1b1,Pfdn5,Cp
Asf1b,Cavin1,Cavin1,Nectin4,Krt23,Tctex1d2,Kif1a,Neurl1a,Irx2,Ndrg2
Ranbp1,Srm,Sod2,Epha2,Slc44a4,Tppp3,Npdc1,Scube2,Folr1,Insr
Cdc20,Cav1,Fhl2,Dennd2c,Steap4,Ccdc170,Anxa6,Gabrb2,Slc1a5,Slc5a1
Gmnn,Fxyd5,Nfib,Lrrc8a,Slpi,Lrriq1,Pkib,Rala,Ltbp2,Steap4
Kif11,Odc1,G0s2,Rab25,Wfdc2,Tekt1,Ascl1,Rarres2,Epdr1,Slpi
Anp32e,Pgam1,Aldh3a2,Phlda2,Cldn7,Lrrc46,Ddc,Prox1,Cavin1,Wfdc2
Birc5,Actn1,Dll1,B4galt5,Slc5a8,1700001L19Rik,Wscd1,Stac2,Sgce,Mmp7
Mybl2,Pfn1,Aldh3a1,Cldn7,Gabrp,Dnah12,Chga,Igf1,Htra1,Acsl1
Kpna2,C1qbp,Dcn,Gabrp,9530003J23Rik,Ropn1l,Scgn,Phlda1,Cav1,Noxo1
Zwint,Snrpf,Arid5b,Igfbp3,Xbp1,Dnah5,Pcsk1,Atp6v1c2,Id3,Slc5a8
Cdk1,Fstl3,Dusp6,Sdc1,Agr2,Rsph9,Ly6h,Atp2a3,Fhl2,9530003J23Rik
Tmpo,Upp1,Efemp1,Fam84a,Vmo1,Rsph1,Tagln3,Golm1,Nfib,Xbp1
Hmmr,Itgb4,Abcc3,Slc9a3r1,Golm1,Ms4a8a,Scg5,Iqgap2,G0s2,Agr2
Pttg1,Txndc17,Nfkbia,Krt19,Oit1,Rp1,Tmem176a,Ddx4,H3f3b,Serpina3n
Rrm2,Plek2,Btf3,Akr1c18,Msmb,1500015O10Rik,Tff3,Amacr,Mmp7,Iqgap2
Aurkb,Fst,Tsc22d1,Net1,Atp12a,Cfap45,Qpct,Adcy5,Isyna1,Clu
Top2a,Tgm1,Trp63,Degs2,Lypd2,Cfap126,Nrxn1,Sult1c2,Phlda1,Krt7
Dek,Adamts1,Ets2,Pitx1,Psca,Enkur,Dtna,Bsnd,Rack1,Kcnk5
Dhfr,Igfbp6,Lima1,Oit1,Alcam,1700007K13Rik,Sec11c,Itih5,Npc2,C3
Cenpk,Tnfrsf12a,Tmem173,Mtss1,Krt7,Morn5,Grp,Tfcp2l1,Fos,C2
