Tuft,Neuroendocrine,Ionocyte,Basal,,Tuft_noC,Neuroendocrine_noC,Ionocyte_noC,Basal_noC,,Ualiyeva_Tuft30
Lrmp,Chga,Stap1,Aqp3,,1810046K07Rik,Ascl1,Ascl3,Abi3bp,,Lrmp
Gnat3,Calca,Gm933,Icam1,,Alox5,Bex2,Asgr1,Adh7,,Ltc4s
Gnb3,Cxcl13,Ascl3,Krt17,,Alox5ap,Cacna2d1,Atp6v0d2,Aqp3,,Rgs13
Plac8,Scg2,Foxi1,Krt5,,Anxa4,Calca,Atp6v1e1,Cotl1,,Trpm5
Trpm5,Nov,Atp6v0d2,Krt15,,Atp2a3,Cd9,Cd81,Crlf1,,Avil
Gng13,Scg5,Moxd1,Sfn,,Avil,Chga,Cftr,Dapl1,,Sh2d6
Ltc4s,Pcsk1,Gnas,Perp,,Bmx,Chgb,Foxi1,Dcn,,Fyb
Rgs13,Dnajc12,Ldhb,Fxyd3,,Bpgm,Cib3,Gm933,Dusp1,,Gng13
Hck,Uchl1,Rasd1,Sdc1,,Calm2,Cplx2,Gnas,Emp1,,Ly6g6f
Alox5ap,Ddc,P2ry14,Gstm2,,Ccdc109b,Cxcl13,Iqgap1,Epas1,,Hck
Avil,Snca,Tfcp2l1,F3,,Ccdc28b,Ddc,Ldhb,F3,,Espn
Alox5,Snap25,Cd81,Epas1,,Cd300lf,Dnajc12,Moxd1,Fam107b,,Sh2d7
Ptpn6,Cib3,Cftr,Abi3bp,,Cd47,Guk1,P2ry14,Fxyd3,,Alox5ap
Atp2a3,Bex2,Slc12a2,Adh7,,Chn2,Igfbp5,Parm1,Gsta4,,Spib
Plk2,Guk1,Asgr1,Id1,,Coprs,Lrp11,Rasd1,Gstm2,,Atp2a3
Zfp428,Chgb,Parm1,Upk1b,,Dclk1,Ly6h,Rbpms,Hpgd,,Pou2af2
Ethe1,Ascl1,Atp6v1e1,Hspa1a,,Espn,Meis2,Slc12a2,Hspa1a,,Ptpn18
Mctp1,Ngf,Iqgap1,Dapl1,,Ethe1,Mthfd2,Stap1,Hspb1,,Bpgm
Fxyd6,Cplx2,Rbpms,Hspb1,,Etv1,Ngf,Tfcp2l1,Icam1,,Vav11
1810046K07Rik,Igfbp5,,Zfp296,,Fxyd6,Nov,,Id1,,Hepacam2
Pik3r5,Pkib,,Dcn,,Fyb,Pcsk1,,Igfbp7,,Zfp428
Cd300lf,Lrp11,,Rplp0,,Gnat3,Pkib,,Junb,,Matk
Rassf6,Tcerg1l,,Fam107b,,Gnb3,Ptp4a3,,Krt15,,Alox5
Dclk1,Rbp4,,Tacstd2,,Gng13,Rbp4,,Krt17,,Pik3r5
Spib,Mthfd2,,Rpl13,,H2afj,Scg2,,Krt5,,Ly6g6d
Pik3cg,Cd9,,Sat1,,Hap1,Scg5,,Oat,,Ccdc28b
Pde2a,Meis2,,Sult1d1,,Hck,Snap25,,Pcolce,,Ptpn6
Matk,Ly6h,,Hpgd,,Inpp5d,Snca,,Perp,,Pik3cg
Vav1,Tmem158,,S100a14,,Itgb7,Syt7,,Phlda3,,Nrgn
Sh2d7,Cacna2d1,,Rps18,,Ivns1abp,Tcerg1l,,S100a14,,Pou2f3
Bmx,Syt7,,Emp1,,Kctd12,Tmem158,,S100a16,,
Fyb,Ptp4a3,,Sgk1,,Krt18,Uchl1,,Sat1,,
Ccdc28b,,,Gsta4,,Lrmp,,,Sdc1,,
Ptpn18,,,Rps4x,,Ltc4s,,,Sfn,,
Bpgm,,,Rps5,,Ly6g6f,,,Sgk1,,
Itgb7,,,Oat,,Matk,,,Sh3bgrl3,,
Ccdc109b,,,Rps8,,Mctp1,,,Sord,,
Anxa4,,,S100a16,,Nkd1,,,Sult1d1,,
Rgs2,,,Phlda3,,Pde2a,,,Tacstd2,,
Tspan6,,,Dusp1,,Pik3cg,,,Upk1b,,
Prss53,,,Crlf1,,Pik3r5,,,Zfp296,,
Ly6g6f,,,Sh3bgrl3,,Pitpnc1,,,,,
Inpp5d,,,Rps2,,Plac8,,,,,
Ivns1abp,,,Junb,,Plk2,,,,,
Nkd1,,,Pcolce,,Pou2f3,,,,,
Sh3bgrl,,,Cotl1,,Prss53,,,,,
Pou2f3,,,Sord,,Ptpn18,,,,,
Sox9,,,Igfbp7,,Ptpn6,,,,,
Chn2,,,Rpl8,,Rassf6,,,,,
Krt18,,,Rpl4,,Reep5,,,,,
Calm2,,,,,Selm,,,,,
Kctd12,,,,,Sh2d7,,,,,
Etv1,,,,,Sh3bgrl,,,,,
Coprs,,,,,Sox9,,,,,
Cd47,,,,,Spib,,,,,
Espn,,,,,Tmem245,,,,,
Tmem245,,,,,Trpm5,,,,,
Pitpnc1,,,,,Tspan6,,,,,
Hap1,,,,,Vav1,,,,,
Reep5,,,,,Zfp428,,,,,
H2afj,,,,,,,,,,
Selm,,,,,,,,,,
