,mTead_p63_down_genes,mTead_p63_up_genes,mYapTaz_KO_down_genes,mYapTaz_KO_up_genes,mYapTaz_Wang_genes
0,Isg15,Rnf223,Tgfb2,Fmo3,F3
1,Tcea3,Acot7,Plscr2,Lyz1,Crim1
2,Fuca1,Hes2,Ankrd1,Muc5b,Ankrd1
3,,Errfi1,Ppp2r2b,Gp2,Nt5e
4,Pifo,Sh2d5,1810010H24Rik,Ern2,Nuak2
5,Pbxip1,Grhl3,Tmem108,Muc16,Ccn1
6,Sec16b,Crybg2,Sulf1,Serpina1b,Gadd45a
7,,Mfsd2a,Ctgf,Cyp2a4,Arhgef17
8,Elf3,Kif2c,Mthfd2,Bpifb1,Ptpn14
9,Capn8,Plk3,BC025446,Kcnj16,Foxf2
10,Anxa4,Btbd19,Dclk1,Muc13,Myof
11,Lypd6b,Zfyve9,Gm10415,Ces1f,Axl
12,Fzd5,Ak4,Ptgs1,Tmprss11d,Lats2
13,Chl1,Gadd45a,Serpinb10,Lrrn3,Rbms3
14,Trex1,Phgdh,Slc34a2,Gfpt2,Ccn2
15,Tcta,Nudt17,Gpx3,Fer1l6,Ccdc80
16,Parp14,Ecm1,2310007B03Rik,Rgs5,Dock5
17,Acpp,S100a10,Mmd,Sprr2f,Amotl2
18,Tnfsf10,,Loxl2,Srgn,Fjx1
19,Mccc1,,Chac1,Anxa10,Asap1
20,,Sprr3,Ptplad2,Dhdh,Igfbp3
21,,,Scel,Chad,Tgfb2
22,,,Krt4,Slc10a5,
23,Ppm1k,S100a2,Cdo1,Ms4a8a,
24,Fam13a,Iqgap3,Vsnl1,Cd200r2,
25,Amacr,Kirrel,Sema3e,Slc26a9,
26,H2-Ea,Igsf9,Gstt1,Prss32,
27,H2-DMb2,Slamf9,Adm2,Bpifa1,
28,H2-DMb1,Lamc2,Slc1a1,Itln1,
29,Tent5a,Kif14,Sdpr,Fut2,
30,Ipcef1,Lad1,Cald1,C2cd4b,
31,Scin,,Bst1,Dmbt1,
32,Sh2d4a,Csrp1,Aspa,Rorb,
33,Eya1,Plxna2,Myc,Ctse,
34,Fbxo32,,Ednra,Htra4,
35,Gsdmd,Lamb3,Timp3,Gm20016,
36,Parp10,G0s2,Fgd3,Chi3l1,
37,,A130010J15Rik,Fads3,Sftpb,
38,,Irf6,Thbs1,Kctd14,
39,Lrrc56,Pycr2,Syde1,2010016I18Rik,
40,,Rrm2,Ank,Grem2,
41,Plekhb1,Crim1,Cldn6,Klk13,
42,Mmp13,Mcfd2,Cyr61,Fstl4,
43,Zbtb44,Ehbp1,Psat1,Mx1,
44,Adamts15,Tgfa,Grb14,Gm14446,
45,,Rtkn,Scnn1g,Kcnj2,
46,Mettl7a2,Slc20a1,Ntn4,AA467197,
47,Mettl7a1,Ckap2l,Hs6st2,Muc5ac,
48,Mettl7a3,Il1a,Tgfb3,Cxcr4,
49,Calcoco1,Il1b,Pvrl3,Iigp1,
50,Acads,Il1rn,Edn1,Slc17a9,
51,Slc46a3,Fmnl2,Serpinb6b,Sytl2,
52,Sall2,Map3k20,Fbln5,Tnfrsf11b,
53,Rem2,Mreg,Mb,Galnt5,
54,Serpina1e,Tmem169,Cachd1,Arg1,
55,Serpina1d,Tuba4a,Arhgef10,Nrp2,
56,Serpina1a,Asb1,Sprr3,Has3,
