Var1,Freq
RPMA_Clone_2,1241
RPMA_Clone_3,230
RPM_Clone_2,178
RPMA_Clone_4,156
RPMA_Clone_1,94
RPM_Clone_13,53
RPMA_Clone_8,52
RPMA_Clone_17,47
RPMA_Clone_7,47
RPM_Clone_19,38
RPMA_Clone_29,31
RPMA_Clone_14,23
RPMA_Clone_5,20
RPMA_Clone_13,19
RPMA_Clone_12,18
RPMA_Clone_18,18
RPMA_Clone_22,17
RPM_Clone_22,16
RPM_Clone_7,14
RPMA_Clone_24,14
RPMA_Clone_30,13
RPMA_Clone_6,12
RPM_Clone_16,11
RPM_Clone_23,11
RPM_Clone_6,11
RPMA_Clone_11,11
RPM_Clone_9,10
RPMA_Clone_25,9
RPM_Clone_5,7
RPM_Clone_36,6
RPMA_Clone_23,6
RPMA_Clone_26,6
RPM_Clone_14,5
RPM_Clone_33,5
RPM_Clone_40,5
RPMA_Clone_44,3
RPM_Clone_37,2
RPMA_Clone_28,2
RPMA_Clone_58,2
RPM_Clone_53,1
RPM_Clone_55,1
RPMA_Clone_32,1
RPMA_Clone_36,1
RPMA_Clone_42,1
RPMA_Clone_53,1
RPMA_Clone_55,1
